0,6,0,4590000,4176900,345874.15,0,4590000,无欠费
0,10,1,2450000,2266250,153847.44,0,2450000,无欠费
0,1,2,4500374,3827000,651407.62,0,4500374,无欠费
2,10,2,2563180,2388883.76,145932.13,0,2563180,无欠费
0,0,0,1100100,987000,95303.09,5,1100000,无欠费
0,4,0,2000000,1798000,189057.17,10,1999999,无欠费
0,1,0,16990508.77,14866695.17,2053932,0,16990508.77,无欠费
9,6,1,6510000,6157000,295554.53,0,6510000,无欠费
0,10,1,3000000,2761200,199938.87,0,3000000,无欠费
2,10,1,907134,839098,56964.16,0,907134,无欠费
2,10,1,1703719,1575940,106984.88,0,1703719,无欠费
2,10,1,6144837,5683994,385847.69,0,6144837,无欠费
2,10,0,614800,568690,38606.29,0,614800,无欠费
9,6,2,2684669,2537412.21,123227.86,0,2684669,无欠费
0,6,0,4441050,4016613,355203.11,0,4441049.54,无欠费
0,4,0,5815160,5124000,555700.62,4008.79,5815160,无欠费
23,5,1,2625540,2360500,214097.42,0,2625540,无欠费
0,10,1,5530000,5137370,328735.34,0,5530000,无欠费
0,4,0,2749900,2193000,521594.64,0,0,无欠费
0,10,0,910000,845390,54095.69,0,910000,无欠费
0,0,1,2109220,30200,141803.54,9708.07,2109520,无欠费
2,10,1,1717345,1595414,102088.55,0,1717345,无欠费
2,9,0,7844700,7060230,656809.24,0,7844700,无欠费
0,2,0,960000,879610,72059.19,20.78,960000,无欠费
0,4,0,920000,726800,180951.85,0,1840000,无欠费
0,0,0,45720,41000,3952,0,91440,无欠费
12,5,0,3570000,3236000,312265.57,0,74234104,无欠费
0,10,0,3350000,3112150,199143.47,0,3350000,无欠费
12,6,0,10595316,9578745,892156.96,0,10595316.25,无欠费
18,10,0,12500945,11434501,854896.19,0,12500945,无欠费
27,6,0,3600000,3291600,288848.6,0,3600000,无欠费
9,6,0,15899514,14914897,857948.35,25967.82,15640329.61,无欠费
0,7,0,1709678,1578600,109747.02,0,1709678,无欠费
9,6,0,898550,807000,81277.78,0,898550,无欠费
12,6,0,1833000,1640800,160922.32,0,1833713.01,无欠费
0,0,0,5200000,4750000,366769,0,5200000,无欠费
0,4,0,4950000,4548440,324333.9,625,4950000,无欠费
0,0,0,279300,243300,29806.07,10,279293.04,无欠费
0,7,0,3956534,3670767,237635.34,0,3956534,无欠费
9,6,2,398000,364150,31669.27,0,398000,无欠费
0,4,0,14360000,12836000,1240331.69,0,14360000,无欠费
9,6,1,543240,496100,39468.67,0,543240,无欠费
18,3,0,3034880,2826300,173649.26,173.78,3034880,无欠费
27,5,0,2977780,2655000,282316.97,0,2977780,无欠费
0,4,4,405000,302000,96343.4,0,405000,无欠费
0,0,0,149200,135000,13297.52,2.25,149200,无欠费
0,4,2,8000000,4931000,2976074.08,0,8000000,无欠费
0,0,2,5400000,4968000,361382.1,316.36,5400000,无欠费
0,0,0,321300,277100,36071.63,40.44,321264.8,无欠费
0,4,1,7484000,6720000,541982.91,0,37261357.96,无欠费
18,6,1,7481517,6730000,549184.07,1182.78,7094778,无欠费
2,10,4,280000,259000,19668.68,0,280000,无欠费
0,6,0,10847798.38,10030600,790377.15,0,10847798.38,无欠费
27,5,0,2580000,2322000,216014.36,0,2580000,无欠费
12,5,0,1773000,1628000,121403.42,0,1773000,无欠费
0,4,0,17560000,16067400,1443909.36,0,18693585.98,无欠费
0,4,6,327000,45000,261269.43,0,327000,无欠费
4,10,3,800000,569000,192962.26,0,800000,无欠费
0,0,3,200000,0,187320.75,0,49803.7,无欠费
9,7,3,50000,0,46827.02,3.17,40000,无欠费
29,7,2,4700000,4150000,505533.89,88.75,4700000,无欠费
20,7,3,200000,0,187298.57,22.19,70000,无欠费
0,10,2,130000,91000,36527.55,0,130000,无欠费
0,10,3,100000,0,93654.04,6.34,20000,无欠费
0,7,3,150000,0,140474.72,15.85,150000,无欠费
0,4,3,27902912,26144257,1634847.75,0,27902912,无欠费
0,10,3,4000000,2000000,1873128.3,79.25,4000000,无欠费
15,10,5,3187500,1970000,1036278.23,684.76,7762500,无欠费
0,0,3,100000,0,93654.04,6.34,40200,无欠费
0,9,5,1300000,780000,488446.79,0,5200000,无欠费
0,7,3,100000,0,93628.68,31.7,100000,无欠费
0,7,3,3000000,810000,1979433.96,0,2000000,无欠费
2,0,5,2912229.2,1752230,1076888.85,61.35,14561150,无欠费
0,7,3,100000,0,93654.04,6.34,100000,无欠费
0,7,3,200000,0,187304.91,15.85,200000,无欠费
0,2,2,14350000,12450000,1437559.75,0,14350000,欠费
0,4,0,2747100,2468000,197994.02,0,6290980.72,欠费
9,3,2,478721,432500,36690.57,0,478721.08,欠费
18,10,0,8385700,7950000,361541.64,0,8385670,欠费
9,3,0,1925060,1739199.63,147631.54,0,1925060.07,欠费
2,10,0,1110000,1026750,69702.31,0,1110000,欠费
12,3,0,7965609,7335703,474550.44,0,25230987,欠费
0,7,0,4488755,4174500,263114.7,0,4488755,欠费
0,4,0,29600000,22414000,5863174.34,0,29600000,欠费
0,4,0,7422056,6651376.23,685140.81,0,14844111,欠费
0,0,0,198220,181371.3,15780.56,0,198220,欠费
0,10,1,962992,896500,55798.56,0,962992,欠费
27,6,0,159959288,150461730,8432215.53,100,159959288,欠费
0,0,0,140910,119769,17700.13,0,140910,欠费
23,5,0,23620390,22053000,1299139.18,0,23620390,欠费
0,6,0,1970576.67,1820500,125653.94,0,1970576.67,欠费
27,6,0,10495000,9951000,455309.4,0,10495000,欠费
0,4,0,1070000,952800,105630.81,4139.15,1070000,欠费
9,6,1,545800,495500,42114.43,0,545800,欠费
18,3,1,5870461,5215122,889617.6,2866.79,5870461,欠费
18,10,0,7095091,6373685.76,520951.77,1900,7095091,欠费
0,4,0,18455633,16850027,1427398.2,0,18451877.82,欠费
9,6,1,448000,407750,32466.45,135,448000,欠费
0,10,1,3980000,3701400,233262.02,0,3980000,欠费
0,1,2,5442200,4762000,658010.95,0,5723633.59,欠费
0,0,0,3273342,2939266,279424.98,825.73,9808094.31,欠费
5,7,3,600000,0,561943.25,19.02,600000,欠费
0,7,2,1200000,940000,238445.31,0,1200000,欠费
15,10,5,2700000,1200000,1194729.37,709.96,10800000,欠费
0,7,3,5000000,3936400,950577.21,1217.21,5000000,欠费
0,7,2,3500000,2572800,862460.68,0,6400000,欠费
2,8,5,450000,56000,365428.91,42.79,1800000,欠费
0,7,3,600000,0,561930.57,31.7,600000,欠费
0,7,3,5000000,3150000,1720830.19,0,5000000,欠费
9,7,3,600000,0,561898.87,63.4,600000,欠费
0,0,5,900000,400000,433236.66,191.88,6450000,欠费
0,7,2,300000,0,280971.62,9.51,2445000,欠费
2,7,3,500000,0,468222.64,79.25,900000,欠费
0,9,3,5000000,2100000,2709811.33,0,5000000,欠费
0,10,7,90000,12000,72234.34,60,90000,欠费
15,6,4,145000,100000,42147.17,0,145000,欠费
12,0,0,240000,216000,22478.49,0,240000,欠费
4,6,0,100000,86000,13112.45,0,100000,欠费
18,5,0,10998000,10678060,299023.05,0,10998000,欠费
13,6,0,7950000,0,773321,0,15994400,欠费
9,7,4,597000,430000,154284.85,1494.01,597000,欠费
9,7,4,14960000,12885000,1534894.34,0,14960000,欠费
15,0,4,31418675.25,26657200,4246318.33,0,131122677,欠费
9,7,4,2984985,2508680,416275.66,8565.48,2984985,欠费
15,0,4,4100000,3795000,255117.64,248.17,4100000,欠费
15,0,4,828000,740000,72931.06,748.26,828000,欠费
15,0,4,9000000,8268000,683692.08,0,0,欠费
0,4,2,1099099,989700,97464.96,0,1181098.97,欠费
0,4,4,7560000,6150000,1320611.31,0,7560000,欠费
0,0,2,73333,27650,42772.71,14.48,73333.34,欠费
0,4,4,600000,563000,34457.81,6.34,1320000,欠费
0,0,4,1225600,1057896,151773.47,0,1225600,欠费
9,5,0,1089960,1002040,82219.41,0,1089960,欠费
22,5,4,1550000,1393500,146483.4,0,1550000,欠费
0,4,4,980000,876500,91811.7,0,1960000,欠费
0,7,4,1152000,1035000,109545.55,37.09,1152000,欠费
0,4,2,1091500,291750,743298.33,177.9,1091500,欠费
0,4,4,4148000,3508000,587663.79,403.03,4346000,欠费
15,6,4,2432000,2130000,276451.01,63.71,2432000,欠费
15,6,4,3535362,3141616.77,350016.05,207.59,7070724,欠费
0,4,4,969000,798000,160105.04,54.2,969000,欠费
0,0,4,30427456.52,27161032,3048700.51,462.62,30427456.52,欠费
9,5,1,49213377.62,46687563.2,2173633.72,0,49213377.62,欠费
0,0,7,156000,0,146110.19,0,156000,欠费
0,4,6,128000,10000,109385.28,500,128000,欠费
0,4,2,548600,442000,80682.28,8244.7,1097200,欠费
0,0,1,80000,3000,71913.3,15,80000,欠费
